ServerTag,StashTag,MinMarkerDuration,MaxGap,RequiredDuration,TagThreshold
69,69_AI,15,6,20s,0.5
Anal Fucking,Anal Fucking_AI,15,6,20s,0.5
Ass Licking,Ass Licking_AI,15,6,20s,0.5
Ass Penetration,Ass Penetration_AI,15,6,20s,0.5
Ball Licking/Sucking,Ball Licking/Sucking_AI,5,4,20s,0.5
Blowjob,Blowjob_AI,15,6,20s,0.5
Cum on Person,Cum on Person_AI,5,4,15s,0.5
Cum Swapping,Cum Swapping_AI,5,4,15s,0.5
Cumshot,Cumshot_AI,4,4,10s,0.5
Deepthroat,Deepthroat_AI,5,4,20s,0.5
Double Penetration,Double Penetration_AI,10,4,20s,0.5
Fingering,Fingering_AI,15,6,20s,0.5
Fisting,Fisting_AI,15,6,20s,0.5
Footjob,Footjob_AI,15,6,20s,0.5
Gangbang,Gangbang_AI,15,6,20s,0.5
Gloryhole,Gloryhole_AI,15,8,20s,0.5
Grabbing Ass,Grabbing Ass_AI,10,8,20s,0.5
Grabbing Boobs,Grabbing Boobs_AI,6,6,20s,0.5
Grabbing Hair/Head,Grabbing Hair/Head_AI,6,6,20s,0.5
Handjob,Handjob_AI,15,6,20s,0.5
Kissing,Kissing_AI,10,4,20s,0.5
Licking Penis,Licking Penis_AI,6,4,20s,0.5
Masturbation,Masturbation_AI,15,10,20s,0.5
Pissing,Pissing_AI,5,4,20s,0.5
Pussy Licking (Clearly Visible),Pussy Licking (Clearly Visible)_AI,10,4,20s,0.5
Pussy Licking,Pussy Licking_AI,15,6,20s,0.5
Pussy Rubbing,Pussy Rubbing_AI,15,6,20s,0.5
Sucking Fingers,Sucking Fingers_AI,5,4,20s,0.5
Sucking Toy/Dildo,Sucking Toy/Dildo_AI,5,4,20s,0.5
Wet (Genitals),Wet (Genitals)_AI,15,6,20s,0.5
Titjob,Titjob_AI,10,4,20s,0.5
Tribbing/Scissoring,Tribbing/Scissoring_AI,15,6,20s,0.5
Undressing,Undressing_AI,15,6,20s,0.5
Vaginal Penetration,Vaginal Penetration_AI,15,6,20s,0.5
Vaginal Fucking,Vaginal Fucking_AI,15,6,20s,0.5
Vibrating,Vibrating_AI,10,6,20s,0.5
